Name,Code,Employment2023,Employment2033,EmploymentChangePercent,AnnualWage,Handbook
"        Janitors and cleaners, except maids and housekeeping cleaners",37-2011,"2,431.6","2,507.3",3.1,"35,930",https://www.bls.gov/ooh/building-and-grounds-cleaning/janitors-and-building-cleaners.htm
        Maids and housekeeping cleaners,37-2012,"1,335.5","1,346.2",0.8,"34,660",
"        Building cleaning workers, all other",37-2019,15.2,15.8,4.3,"42,360",
      Pest control workers,37-2021,98.2,105.1,7.0,"44,730",https://www.bls.gov/ooh/building-and-grounds-cleaning/pest-control-workers.htm
      Landscaping and groundskeeping workers,37-3011,"1,188.2","1,248.3",5.1,"38,090",https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm
"      Pesticide handlers, sprayers, and applicators, vegetation",37-3012,26.7,28.0,5.1,"45,200",https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm
      Tree trimmers and pruners,37-3013,67.1,70.4,4.8,"50,430",https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm
"      Grounds maintenance workers, all other",37-3019,14.1,14.6,3.8,"43,410",https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm
        First-line supervisors of gambling services workers,39-1013,33.2,34.9,5.2,"61,590",https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm
"        First-line supervisors of entertainment and recreation workers, except gambling services",39-1014,123.3,134.6,9.1,"46,900",
      First-line supervisors of personal service workers,39-1022,155.9,171.7,10.1,"47,080",
      Animal trainers,39-2011,57.9,61.6,6.4,"38,750",https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm
      Animal caretakers,39-2021,364.6,425.2,16.6,"33,470",https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm
        Gambling dealers,39-3011,86.8,89.6,3.2,"33,280",https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm
        Gambling and sports book writers and runners,39-3012,9.6,9.4,-2.4,"30,460",https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm
"        Gambling service workers, all other",39-3019,14.5,14.9,2.9,"34,530",https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm
      Motion picture projectionists,39-3021,2.6,2.5,-5.0,"38,180",
"      Ushers, lobby attendants, and ticket takers",39-3031,119.7,122.7,2.6,"31,150",
        Amusement and recreation attendants,39-3091,381.5,398.6,4.5,"30,490",
        Costume attendants,39-3092,6.5,7.0,7.1,"54,810",
"        Locker room, coatroom, and dressing room attendants",39-3093,15.5,16.7,8.0,"34,800",
"        Entertainment attendants and related workers, all other",39-3099,7.9,8.3,5.2,"34,550",
        Embalmers,39-4011,3.4,3.5,1.2,"56,280",
        Crematory operators,39-4012,3.2,3.4,4.7,"42,880",
      Funeral attendants,39-4021,32.9,33.9,3.2,"34,610",
"      Morticians, undertakers, and funeral arrangers",39-4031,25.3,26.1,3.5,"49,800",https://www.bls.gov/ooh/personal-care-and-service/funeral-service-occupations.htm
        Barbers,39-5011,78.4,83.3,6.4,"38,960",https://www.bls.gov/ooh/personal-care-and-service/barbers-hairstylists-and-cosmetologists.htm
"        Hairdressers, hairstylists, and cosmetologists",39-5012,571.1,611.4,7.1,"35,250",https://www.bls.gov/ooh/personal-care-and-service/barbers-hairstylists-and-cosmetologists.htm
"        Makeup artists, theatrical and performance",39-5091,7.4,8.1,9.4,"50,280",
        Manicurists and pedicurists,39-5092,212.7,237.8,11.8,"34,660",https://www.bls.gov/ooh/personal-care-and-service/manicurists-and-pedicurists.htm
        Shampooers,39-5093,13.3,14.5,9.5,"31,470",
        Skincare specialists,39-5094,81.8,90.2,10.3,"41,560",https://www.bls.gov/ooh/personal-care-and-service/skincare-specialists.htm
      Baggage porters and bellhops,39-6011,29.5,29.6,0.5,"36,020",
      Concierges,39-6012,41.8,44.0,5.4,"37,320",
      Tour and travel guides,39-7010,56.3,61.7,9.5,"36,660",
      Childcare workers,39-9011,970.8,957.8,-1.3,"32,050",https://www.bls.gov/ooh/personal-care-and-service/childcare-workers.htm
        Exercise trainers and group fitness instructors,39-9031,350.1,397.7,13.6,"46,180",https://www.bls.gov/ooh/personal-care-and-service/fitness-trainers-and-instructors.htm
        Recreation workers,39-9032,300.0,316.5,5.5,"35,380",https://www.bls.gov/ooh/personal-care-and-service/recreation-workers.htm
      Residential advisors,39-9041,95.7,100.7,5.2,"39,180",
"      Personal care and service workers, all other",39-9099,93.1,104.4,12.1,"37,900",
      First-line supervisors of retail sales workers,41-1011,"1,407.4","1,316.9",-6.4,"47,320",
      First-line supervisors of non-retail sales workers,41-1012,347.8,351.9,1.2,"84,130",
        Cashiers,41-2011,"3,338.8","2,985.7",-10.6,"31,190",https://www.bls.gov/ooh/sales/cashiers.htm
        Gambling change persons and booth cashiers,41-2012,21.4,20.5,-4.3,"34,810",
        Counter and rental clerks,41-2021,403.7,420.8,4.2,"38,540",
        Parts salespersons,41-2022,267.9,271.2,1.2,"37,440",https://www.bls.gov/ooh/sales/retail-sales-workers.htm
      Retail salespersons,41-2031,"3,810.1","3,814.7",0.1,"34,580",https://www.bls.gov/ooh/sales/retail-sales-workers.htm
      Advertising sales agents,41-3011,111.6,104.2,-6.6,"61,460",https://www.bls.gov/ooh/sales/advertising-sales-agents.htm
      Insurance sales agents,41-3021,547.6,581.0,6.1,"60,370",https://www.bls.gov/ooh/sales/insurance-sales-agents.htm
"      Securities, commodities, and financial services sales agents",41-3031,513.8,547.9,6.6,"78,140",https://www.bls.gov/ooh/sales/securities-commodities-and-financial-services-sales-agents.htm
      Travel agents,41-3041,68.8,71.2,3.4,"48,450",https://www.bls.gov/ooh/sales/travel-agents.htm
"      Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,"1,170.3","1,214.5",3.8,"66,260",
"      Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,325.3,335.3,3.1,"100,070",https://www.bls.gov/ooh/sales/wholesale-and-manufacturing-sales-representatives.htm
"      Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,"1,356.1","1,366.1",0.7,"66,780",https://www.bls.gov/ooh/sales/wholesale-and-manufacturing-sales-representatives.htm
        Demonstrators and product promoters,41-9011,56.5,59.2,4.9,"37,960",
        Models,41-9012,3.6,3.6,-0.4,"89,990",https://www.bls.gov/ooh/sales/models.htm
        Real estate brokers,41-9021,113.6,115.8,2.0,"72,280",https://www.bls.gov/ooh/sales/real-estate-brokers-and-sales-agents.htm
        Real estate sales agents,41-9022,430.7,438.7,1.8,"56,320",https://www.bls.gov/ooh/sales/real-estate-brokers-and-sales-agents.htm
      Sales engineers,41-9031,59.7,63.4,6.3,"121,520",https://www.bls.gov/ooh/sales/sales-engineers.htm
      Telemarketers,41-9041,85.2,66.8,-21.5,"34,410",
"        Door-to-door sales workers, news and street vendors, and related workers",41-9091,32.4,27.7,-14.6,"34,530",
"        Sales and related workers, all other",41-9099,137.2,142.6,3.9,"46,370",
      First-line supervisors of office and administrative support workers,43-1011,"1,570.5","1,501.4",-4.4,"66,140",
"      Switchboard operators, including answering service",43-2011,44.9,33.6,-25.2,"38,370",
      Telephone operators,43-2021,4.7,3.5,-26.4,"39,130",
"      Communications equipment operators, all other",43-2099,1.4,1.5,5.1,"49,910",
      Bill and account collectors,43-3011,196.5,177.8,-9.5,"46,040",https://www.bls.gov/ooh/office-and-administrative-support/bill-and-account-collectors.htm
      Billing and posting clerks,43-3021,449.0,451.3,0.5,"47,170",https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm
"      Bookkeeping, accounting, and auditing clerks",43-3031,"1,663.8","1,579.9",-5.0,"49,210",https://www.bls.gov/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm
      Gambling cage workers,43-3041,13.1,12.7,-3.7,"36,990",https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm
      Payroll and timekeeping clerks,43-3051,160.3,136.2,-15.1,"55,290",https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm
      Procurement clerks,43-3061,63.3,59.1,-6.7,"48,510",https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm
      Tellers,43-3071,350.3,298.8,-14.7,"39,340",https://www.bls.gov/ooh/office-and-administrative-support/tellers.htm
"      Financial clerks, all other",43-3099,46.2,47.3,2.3,"52,150",
      Brokerage clerks,43-4011,49.7,48.2,-2.8,"62,940",https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm
      Correspondence clerks,43-4021,5.5,5.1,-6.7,"46,740",https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm
"      Court, municipal, and license clerks",43-4031,165.1,171.4,3.8,"47,700",https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm
"      Credit authorizers, checkers, and clerks",43-4041,14.5,13.7,-5.2,"49,130",https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm
      Customer service representatives,43-4051,"2,954.6","2,805.8",-5.0,"42,830",https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm
"      Eligibility interviewers, government programs",43-4061,160.0,164.9,3.1,"51,500",https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm
      File clerks,43-4071,87.2,73.9,-15.3,"41,270",https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm
"      Hotel, motel, and resort desk clerks",43-4081,271.3,290.2,7.0,"34,270",https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm
"      Interviewers, except eligibility and loan",43-4111,169.1,152.5,-9.9,"43,830",https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm
"      Library assistants, clerical",43-4121,87.7,82.7,-5.7,"36,010",https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm
      Loan interviewers and clerks,43-4131,206.1,201.2,-2.4,"48,950",https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm
      New accounts clerks,43-4141,42.2,36.0,-14.6,"46,610",https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm
      Order clerks,43-4151,106.3,87.3,-17.9,"44,660",https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm
"      Human resources assistants, except payroll and timekeeping",43-4161,104.2,99.2,-4.8,"49,440",https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm
      Receptionists and information clerks,43-4171,"1,054.5","1,048.8",-0.5,"37,230",https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm
      Reservation and transportation ticket agents and travel clerks,43-4181,123.8,128.5,3.8,"41,460",https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm
"      Information and record clerks, all other",43-4199,162.8,167.4,2.9,"48,360",https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm
      Cargo and freight agents,43-5011,106.7,117.0,9.7,"49,900",
      Couriers and messengers,43-5021,225.5,244.3,8.3,"38,340",
        Public safety telecommunicators,43-5031,102.7,106.8,4.0,"50,730",https://www.bls.gov/ooh/office-and-administrative-support/police-fire-and-ambulance-dispatchers.htm
"        Dispatchers, except police, fire, and ambulance",43-5032,215.4,215.7,0.2,"48,880",
"      Meter readers, utilities",43-5041,20.4,18.1,-11.4,"49,180",
        Postal service clerks,43-5051,74.6,72.4,-3.0,"61,630",https://www.bls.gov/ooh/office-and-administrative-support/postal-service-workers.htm
        Postal service mail carriers,43-5052,316.7,307.1,-3.0,"57,490",https://www.bls.gov/ooh/office-and-administrative-support/postal-service-workers.htm
"        Postal service mail sorters, processors, and processing machine operators",43-5053,111.3,102.5,-7.9,"56,530",https://www.bls.gov/ooh/office-and-administrative-support/postal-service-workers.htm
"      Production, planning, and expediting clerks",43-5061,399.2,418.7,4.9,"57,770",https://www.bls.gov/ooh/office-and-administrative-support/material-recording-clerks.htm
"      Shipping, receiving, and inventory clerks",43-5071,848.7,784.2,-7.6,"43,190",https://www.bls.gov/ooh/office-and-administrative-support/material-recording-clerks.htm
"      Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,51.8,50.1,-3.3,"45,650",https://www.bls.gov/ooh/office-and-administrative-support/material-recording-clerks.htm
      Executive secretaries and executive administrative assistants,43-6011,516.1,517.2,0.2,"74,260",https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm
      Legal secretaries and administrative assistants,43-6012,154.2,146.3,-5.1,"54,140",https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm
      Medical secretaries and administrative assistants,43-6013,768.9,810.1,5.4,"44,640",https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm
"      Secretaries and administrative assistants, except legal, medical, and executive",43-6014,"1,982.3","1,976.2",-0.3,"46,290",https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm
        Data entry keyers,43-9021,163.9,122.8,-25.0,"39,850",
        Word processors and typists,43-9022,39.9,24.8,-38.0,"47,850",
      Desktop publishers,43-9031,6.4,5.6,-13.4,"53,620",https://www.bls.gov/ooh/office-and-administrative-support/desktop-publishers.htm
      Insurance claims and policy processing clerks,43-9041,271.8,261.3,-3.9,"48,450",https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm
"      Mail clerks and mail machine operators, except postal service",43-9051,70.6,66.2,-6.2,"38,150",
"      Office clerks, general",43-9061,"2,645.8","2,498.2",-5.6,"43,630",https://www.bls.gov/ooh/office-and-administrative-support/general-office-clerks.htm
"      Office machine operators, except computer",43-9071,29.2,24.8,-15.1,"39,020",
      Proofreaders and copy markers,43-9081,6.7,6.5,-3.4,"49,210",
      Statistical assistants,43-9111,7.9,7.9,0.2,"51,440",
"      Office and administrative support workers, all other",43-9199,206.8,190.8,-7.7,"46,040",
"      First-line supervisors of farming, fishing, and forestry workers",45-1011,68.9,71.0,3.1,"59,330",
      Agricultural inspectors,45-2011,13.3,13.9,3.9,"50,990",
      Animal breeders,45-2021,6.7,6.9,2.4,"52,000",https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm
"      Graders and sorters, agricultural products",45-2041,32.2,30.6,-4.7,"35,430",
        Agricultural equipment operators,45-2091,62.7,68.0,8.4,"42,580",https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm
"        Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,497.3,485.4,-2.4,"35,690",https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm
"        Farmworkers, farm, ranch, and aquacultural animals",45-2093,204.7,194.1,-5.2,"36,150",https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm
"        Agricultural workers, all other",45-2099,11.0,11.3,2.5,"40,390",https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm
      Fishing and hunting workers,45-3031,25.5,25.3,-0.7,—,https://www.bls.gov/ooh/farming-fishing-and-forestry/fishers-and-related-fishing-workers.htm
      Forest and conservation workers,45-4011,10.9,10.5,-3.8,"43,680",https://www.bls.gov/ooh/farming-fishing-and-forestry/forest-and-conservation-workers.htm
        Fallers,45-4021,6.9,6.3,-8.4,"53,900",https://www.bls.gov/ooh/farming-fishing-and-forestry/logging-workers.htm
        Logging equipment operators,45-4022,34.1,32.8,-3.8,"49,210",https://www.bls.gov/ooh/farming-fishing-and-forestry/logging-workers.htm
        Log graders and scalers,45-4023,5.2,5.1,-1.5,"46,710",https://www.bls.gov/ooh/farming-fishing-and-forestry/logging-workers.htm
"        Logging workers, all other",45-4029,3.7,3.4,-7.4,"52,000",https://www.bls.gov/ooh/farming-fishing-and-forestry/logging-workers.htm
      First-line supervisors of construction trades and extraction workers,47-1011,853.2,903.4,5.9,"78,690",
      Boilermakers,47-2011,11.3,11.2,-1.2,"73,340",https://www.bls.gov/ooh/construction-and-extraction/boilermakers.htm
        Brickmasons and blockmasons,47-2021,72.6,75.0,3.3,"60,800",https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm
        Stonemasons,47-2022,12.4,12.0,-3.6,"51,990",https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm
      Carpenters,47-2031,923.1,961.6,4.2,"59,310",https://www.bls.gov/ooh/construction-and-extraction/carpenters.htm
        Carpet installers,47-2041,20.3,18.5,-8.9,"49,850",https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm
"        Floor layers, except carpet, wood, and hard tiles",47-2042,32.8,36.1,10.1,"54,340",https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm
        Floor sanders and finishers,47-2043,6.6,6.8,2.5,"49,150",https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm
        Tile and stone setters,47-2044,55.6,61.4,10.4,"52,240",https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm
        Cement masons and concrete finishers,47-2051,211.8,210.3,-0.7,"54,660",https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm
        Terrazzo workers and finishers,47-2053,1.5,1.4,-8.4,"57,260",https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm
      Construction laborers,47-2061,"1,401.2","1,516.6",8.2,"46,730",https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm
"        Paving, surfacing, and tamping equipment operators",47-2071,44.5,46.3,3.9,"51,650",https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm
        Pile driver operators,47-2072,3.1,3.3,4.6,"70,510",https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm
        Operating engineers and other construction equipment operators,47-2073,468.0,487.6,4.2,"58,710",https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm
        Drywall and ceiling tile installers,47-2081,116.6,120.4,3.3,"58,140",https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm
        Tapers,47-2082,20.0,19.8,-0.7,"64,700",https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm
      Electricians,47-2111,779.8,864.1,10.8,"62,350",https://www.bls.gov/ooh/construction-and-extraction/electricians.htm
      Glaziers,47-2121,56.5,58.6,3.8,"55,440",https://www.bls.gov/ooh/construction-and-extraction/glaziers.htm
"        Insulation workers, floor, ceiling, and wall",47-2131,39.1,40.2,2.7,"48,680",https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm
"        Insulation workers, mechanical",47-2132,23.4,24.6,5.1,"57,250",https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm
"        Painters, construction and maintenance",47-2141,338.9,352.4,4.0,"48,660",https://www.bls.gov/ooh/construction-and-extraction/painters-construction-and-maintenance.htm
        Paperhangers,47-2142,2.9,3.1,5.7,"48,260",
        Pipelayers,47-2151,37.3,36.4,-2.3,"48,710",
"        Plumbers, pipefitters, and steamfitters",47-2152,473.4,499.7,5.6,"62,970",https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm
      Plasterers and stucco masons,47-2161,24.1,24.9,3.3,"56,020",
      Reinforcing iron and rebar workers,47-2171,21.9,22.9,4.2,"59,280",https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm
      Roofers,47-2181,168.1,177.9,5.8,"50,970",https://www.bls.gov/ooh/construction-and-extraction/roofers.htm
      Sheet metal workers,47-2211,124.2,127.1,2.3,"60,850",https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm
      Structural iron and steel workers,47-2221,66.1,68.9,4.1,"62,700",https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm
      Solar photovoltaic installers,47-2231,25.0,37.0,48.0,"51,860",https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm
"      Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,17.1,15.6,-9.1,"46,480",https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm
      Helpers--carpenters,47-3012,22.3,21.6,-3.0,"41,600",https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm
      Helpers--electricians,47-3013,71.5,72.2,1.0,"39,890",https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm
"      Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,7.8,8.0,1.9,"38,140",https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm
"      Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,47.1,49.8,5.9,"39,270",https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm
      Helpers--roofers,47-3016,4.8,5.0,5.6,"40,590",https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm
"      Helpers, construction trades, all other",47-3019,28.0,30.4,8.3,"40,760",https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm
      Construction and building inspectors,47-4011,142.6,142.7,0.0,"72,120",https://www.bls.gov/ooh/construction-and-extraction/construction-and-building-inspectors.htm
      Elevator and escalator installers and repairers,47-4021,24.4,25.8,5.7,"106,580",https://www.bls.gov/ooh/construction-and-extraction/elevator-installers-and-repairers.htm
      Fence erectors,47-4031,24.3,25.5,4.8,"46,940",
      Hazardous materials removal workers,47-4041,50.3,50.9,1.0,"48,490",https://www.bls.gov/ooh/construction-and-extraction/hazardous-materials-removal-workers.htm
      Highway maintenance workers,47-4051,160.4,166.5,3.8,"49,070",
      Rail-track laying and maintenance equipment operators,47-4061,17.7,18.1,2.5,"67,370",
      Septic tank servicers and sewer pipe cleaners,47-4071,30.1,32.6,8.1,"49,140",
      Miscellaneous construction and related workers,47-4090,31.6,32.9,4.0,"48,120",
"        Derrick operators, oil and gas",47-5011,12.1,12.5,3.1,"62,740",
"        Rotary drill operators, oil and gas",47-5012,12.8,13.1,2.2,"65,010",
"        Service unit operators, oil and gas",47-5013,48.7,49.7,2.1,"57,980",
